X,Y,Z1,Z2
1,4.6520851777018555,1.764052345967664,2.320015025677462
1,2.5902211038756207,0.4001572083672233,1.2926310956987537
1,3.8989808368179246,0.9787379841057392,0.5564231599804685
1,5.8571786359530655,2.240893199201458,2.345607228634742
1,3.6474887484678646,1.8675579901499675,2.0956113152740348
1,2.8134478550631954,-0.97727788,-0.775797933
1,2.842383743768465,0.9500884175255894,1.4908620028259796
0,-0.065010924,-0.151357208,-1.969434839
0,-0.10400224,-0.103218852,-0.152542922
1,4.003198754,0.41059850193837233,0.6496321031851372
1,5.121308517167808,0.144043571,-0.856286778
1,3.9986415307794267,1.454273506962975,3.128259213973685
1,1.6458380582184118,0.7610377251469934,0.9225969923851614
1,0.9531258405072274,0.12167501649282841,1.6850797615217579
0,1.341038549081535,0.44386323274542566,-0.346659789
1,6.159977729,0.33367432737426683,-0.573625794
1,5.453571345866653,1.4940790731576061,1.718331294123288
0,3.3748701509109686,-0.205158264,-1.883846627
0,-0.426837312,0.31306770165090136,0.5280332922769949
1,2.723102023977366,-0.854095739,-0.756876507
0,-4.668625905,-2.552989816,-1.537324534
1,2.9482250346512635,0.6536185954403606,1.3546599366054577
0,0.5466178304615661,0.8644361988595057,0.44695884897447175
0,-0.278657025,-0.74216502,-1.839661675
1,3.564000281458647,2.2697546239876076,3.9820598453309044
0,-0.659533114,-1.454365675,-2.246480695
1,4.513495738887396,0.045758517,-0.99976604
0,1.4411256490183368,-0.18718385,-1.272039909
1,3.955462366208652,1.5327792143584575,2.650084529895122
1,5.044213345475511,1.469358769900285,0.950458565
1,3.7860733503455704,0.1549474256969163,-0.59875704
1,3.3333409735401425,0.37816251960217356,0.5158523455055208
0,-1.129878179,-0.887785748,-1.094730458
0,-0.811729952,-1.980796468,-2.658891929
0,-0.236378426,-0.347912149,0.406079318
0,0.3650780149530698,0.15634896910398005,1.221664461201975
1,2.847270411847436,1.2302906807277207,2.215608189667588
1,4.304832404461963,1.2023798487844113,1.9692995184456104
1,1.215368009869337,-0.387326817,0.015298713722082913
0,1.8467599676390718,-0.302302751,-2.078190751
0,-1.635131489,-1.048552965,0.620697841
0,-1.871596649,-1.420017937,-1.118028727
0,-1.241790571,-1.706270191,-1.098113763
1,3.097245201968911,1.9507753952317897,3.065737718179192
0,-2.831649968,-0.509652182,0.9237003211303383
0,-0.992282156,-0.438074302,-0.01967629
0,-0.666131165,-1.25279536,-0.817249201
0,0.9592851769496413,0.7774903558319101,0.17826607837219066
0,-2.1005407,-1.613897848,-1.580808096
0,-0.350207378,-0.21274028,-1.066901541
0,0.027355015390840537,-0.895466561,-1.615407093
0,2.527172041067889,0.386902498,-0.506671904
0,0.3458988625221068,-0.510805138,-0.666829029
1,1.8669252822938422,-1.180632184,-0.131538996
1,-0.006131477,-0.028182228,3.142792544951525
1,3.075522874,0.42833187053041766,0.6178315080783311
0,2.092176226555658,0.066517222,-1.281895865
1,2.405577492249385,0.3024718977397814,1.5674552275960374
0,-0.507146453,-0.634322094,-0.93510597
0,1.1961080503934696,-0.362741166,-1.02334976
0,-1.080097377,-0.672460448,-0.46261097
0,0.043295179,-0.359553162,-1.600177761
1,3.273579049277905,-0.813146282,-0.590683118
0,-1.557187189,-1.726282602,-1.814658126
1,2.4420188915895853,0.17742614225375283,0.2758040490692285
0,-1.896103085,-0.401780936,-0.020364682
1,1.7977212716200153,-1.630198347,-1.56270609
1,6.183853832891158,0.4627822555257742,0.4791203396386667
0,-1.584433487,-0.907298364,-0.622983845
1,2.7002709105394334,0.051945396,0.46734602196726577
0,3.284344220109848,0.7290905621775369,-0.302391898
0,1.5016929696523436,0.12898291075741067,-1.301008348
1,3.1525718734675268,1.1394006845433007,1.0777626323710858
0,-1.374886783,-1.23482582,-2.66756131
1,4.941474144043358,0.402341641,0.48987311209921985
1,2.4427975756275657,-0.684810091,0.2539367847419969
0,-0.651783113,-0.870797149,-0.263685477
0,0.41156418368234493,-0.578849665,-1.627020072
0,-0.178002106,-0.311552532,-1.171814984
1,2.910700931504823,0.056165342,0.38446663723050084
0,-0.627820818,-1.165149841,-1.566447646
1,3.779170626307592,0.9008264869541871,0.5841711919020802
1,3.830205868033633,0.46566243973045984,1.0625689209784137
0,-1.808553162,-1.536243686,-2.52353038
1,4.956728139131558,1.4882521937955997,1.0870174838844173
