X,W,Z,Y
1.1370547405609435,1.221767788349106,0.32782924746671177,1.9445320685408851
-0.112905256,0.46583489,0.5996499668860954,0.6555135542290456
2.077755426518279,1.795413628632273,-0.063392915,5.9344114863659225
0.45637250999113665,-0.512159471,1.177412747942099,-0.188064437
-1.012401633,0.08000163,-0.275697064,-0.533774824
1.4676744733815226,-0.029919767,0.15553792152263668,0.41684946755330654
-1.179811094,-1.043382743,-1.493909938,-2.057473098
0.6322854250077281,-0.448065411,-0.602200077,0.913496531
0.2791692450758849,0.9097357024447489,-0.035662996,2.656630815112056
0.4146627710778069,0.068679622,0.811900015,-0.409498378
0.1910086050840319,-0.271011245,0.1798279875877647,-0.616053568
-0.757682161,-0.054602871,-1.235193509,-1.539077322
0.6894063540359674,0.5786385760864454,-0.211805141,2.0740945321221123
0.20126055497639173,-0.542160738,-0.417861815,-0.465570409
-0.596379752,0.3162333222397774,1.974393469,-2.323706311
1.6897329832972112,0.8562748920243404,0.8416829402189068,0.7395667000285004
-1.192235249,-0.75782905,-1.616800533,-1.003826808
-0.157611312,0.13961624912793025,-0.954305674,1.2453480354690776
-0.509371443,-1.306530785,-0.351028208,-2.694809116
-0.892952591,-0.37777839,-1.593340314,0.6679846776529705
1.8022796422637954,0.580372459,-0.704568507,4.241204468027532
-1.847461097,-0.813952494,0.040438781,-2.904099204
-0.980713972,0.6153276160877601,0.040381178,-1.519074688
0.064942963,-0.847983111,1.488977297646728,-2.110103452
2.085969900650647,1.3349748720943786,-0.169625203,6.432303058492498
-1.294691923,-0.634220725,-0.170055862,-1.452209903
-0.076756882,-0.485385203,-0.538372648,0.18784782294486396
-2.70563074,-1.676483794,-0.460086125,-2.874310757
2.4752776127104763,1.7182374848038617,-3.124529756,7.870342733374083
0.231254673,-0.424061229,0.9365056015465602,-0.914149111
1.7548848182318277,1.341518693571907,-0.819272529,5.1904704045867245
-0.702908881,0.9545304971920205,1.2059298223690047,-1.107802486
-1.711620323,-1.043547586,-0.156211459,-3.246205079
-0.212939751,-0.805524945,-0.198009396,-2.518765187
-0.659769201,-0.10555279,1.0345276577738252,-2.22426148
-0.945935464,0.28694711893775854,0.67377131,-1.804788386
-0.164902952,0.7790598625241971,2.562749206481542,-2.717236737
-1.780669781,-2.518887969,1.0567463058662208,-3.642044711
-2.499612731,-1.944357504,2.078611006076176,-4.775240876
-1.014426043,-0.506347181,-0.971622022,-1.664894794
1.6994794715725647,1.7310783892626542,0.8806464177599469,5.465738545246205
-1.032029482,-0.623707867,-1.498897793,-1.24428721
-1.314146246,-0.478006497,-1.807338755,-1.701605749
-0.415270356,0.41043868495772795,-1.162708289,0.22795182654248558
0.5916516334557511,0.8963193052212218,-1.104616151,2.325084333332763
-0.259463133,-0.449177349,-1.24755687,-2.283254579
1.559282185612118,1.7471346555301093,0.3722837194950539,6.819125755222887
-1.52544311,-0.139178322,-0.198268959,-2.762930321
1.4573598425166414,0.5559596597102167,-0.924966626,4.413277086858552
0.2918000323490155,0.6597127590367803,-0.42007654,0.4512770685091547
-1.232556682,-1.251295458,2.810643019733437,-2.117024474
-0.763976983,0.040134424105012834,1.4679108274479369,-1.991415608
-1.241064622,-0.929093444,-0.37976983,-2.436827358
0.9037371613850733,0.23076872204241752,-0.338925666,1.8167137192672576
-1.811202996,-1.186396258,-0.802755529,-3.391832825
-0.914628907,-1.666471871,0.7021030748514495,-2.489927929
2.267441388752546,0.4896718586702094,-0.283380328,4.602389854615064
-1.403902852,-1.501136373,-0.203759818,-3.730772705
1.4598250388909848,0.4070385743815679,0.8314105636516917,2.3034754031040268
-0.565062395,0.4117159461448434,1.2467414001665584,-1.276713451
-0.72247602,-0.246183887,-0.202685762,-0.912491949
1.7179171893793657,0.116629414,-0.179721274,1.0621802394194741
1.7192100827663201,0.29157647656274815,-2.443736435,3.9892825382451758
-1.994577625,-0.898840106,-0.799549754,-1.43907665
-0.060785852,1.6367471098172304,0.15721216204914915,2.2026071356494215
0.19219529754018075,0.3257354554937284,0.4848796166363398,0.37734805
-2.400850398,-1.778779382,-0.39652352,-3.290165687
-2.449985004,-1.231550985,-0.66862009,-4.480014611
3.526853480833654,0.6608618809120961,-1.771917659,7.883742946774615
3.018733123964534,1.2492316344742271,-0.568884405,8.357111341268833
-0.262775891,-0.272515837,-1.001793225,0.3490081517899824
-0.26689352,1.125760787,1.7808372353636455,-0.333060573
0.6736708369659451,-0.084800068,0.5119820015012542,1.2270590609112837
-0.472095379,-0.734008385,-1.580180493,1.4783523483751164
-0.827148699,-0.38278887,-0.237548609,-0.514794753
-0.569250634,0.2887923963813086,-1.842352515,1.4730813468053805
0.16500858278892513,0.3743879952606168,0.12872367892103914,0.4184796155095763
-0.700054044,-0.569536,-0.768331598,-0.885609283
2.8887890685664974,-0.163210014,-0.527701481,4.171827932833968
1.2415861559044823,0.34733496712711714,0.21431030037393525,1.8575578097152565
2.879428308028186,1.3009930856847058,0.036469644393432726,6.812824542905409
-0.269322994,1.0757470143761987,-0.317935599,2.7725536804677082
-0.077827911,-0.188009657,-0.121595491,0.6621721620821741
4.043842423363706,3.400364270383559,-1.109956286,17.88461225099036
-2.885282997,-0.991230182,-0.37591282,-3.179526429
-1.224370993,-0.437422228,-0.363106165,-0.901159368
0.3388413653784884,-0.652199873,0.24276070211053827,0.716788999
1.8501143897087748,1.2450651289160297,2.030520153108755,4.631964929710969
0.034373677,-1.193695956,-1.486895866,1.1618397258529085
2.8721451661573347,0.9051983235680146,0.4995641551523194,6.602620057
0.4317078979968648,0.6095030222889671,-0.679639367,2.926833949123649
-0.379166173,-0.084025501,0.49030776013313077,-2.693402071
0.8230045657936685,-0.62701011,-0.128084143,0.22231319315308265
