city,time,X,y
0,0,0.144043571,7.552716445928269
0,1,1.454273506962975,10.077829366718872
0,2,0.7610377251469934,12.372730568998117
0,3,0.12167501649282841,11.48926332844895
0,4,0.44386323274542566,13.104832547972217
0,5,0.33367432737426683,13.883890984546346
0,6,1.4940790731576061,15.940642458669995
0,7,-0.205158264,11.011181912921835
0,8,0.31306770165090136,12.65224059351637
0,9,-0.854095739,11.15524468699885
0,10,-2.552989816,4.861952174020617
0,11,0.6536185954403606,10.257251085759595
1,0,0.8644361988595057,0.6417189023559624
1,1,-0.74216502,1.2982077925569597
1,2,2.2697546239876076,8.377224654623825
1,3,-1.454365675,2.2623652192487924
1,4,0.045758517,6.017089205070245
1,5,-0.18718385,5.681351384299889
1,6,1.5327792143584575,11.54793258721414
1,7,1.469358769900285,9.802228077139988
1,8,0.1549474256969163,7.733673583200271
1,9,0.37816251960217356,6.445197512
1,10,-0.887785748,3.2488517965998582
1,11,-1.980796468,-1.153706724
2,0,-0.347912149,3.101246349685865
2,1,0.15634896910398005,5.221316511600637
2,2,1.2302906807277207,9.951645215140209
2,3,1.2023798487844113,11.359623576257148
2,4,-0.387326817,10.13387375921854
2,5,-0.302302751,10.14738308335452
2,6,-1.048552965,7.743468551899332
2,7,-1.420017937,6.502361378027433
2,8,-1.706270191,7.455543165463856
2,9,1.9507753952317897,11.69740784674293
2,10,-0.509652182,4.715268546
2,11,-0.438074302,5.44665561
3,0,-1.25279536,7.898899579218808
3,1,0.7774903558319101,12.022067253068661
3,2,-1.613897848,9.691005687792895
3,3,-0.21274028,12.336813888868523
3,4,-0.895466561,11.507171588785264
3,5,0.386902498,16.177557826268085
3,6,-0.510805138,13.888250645680813
3,7,-1.180632184,12.792491192411854
3,8,-0.028182228,15.987353974550313
3,9,0.42833187053041766,14.790571709460648
3,10,0.066517222,12.767506964995018
3,11,0.3024718977397814,11.392675781936074
4,0,-0.634322094,8.038743680844197
4,1,-0.362741166,10.479042852368691
4,2,-0.672460448,10.724379733748805
4,3,-0.359553162,12.013126809686982
4,4,-0.813146282,9.489242799660378
4,5,-1.726282602,10.837863304669195
4,6,0.17742614225375283,13.606264219786796
4,7,-0.401780936,12.79484711900638
4,8,-1.630198347,11.301313860806655
4,9,0.4627822555257742,9.924728176698974
4,10,-0.907298364,8.873305693888156
4,11,0.051945396,9.651387742568174
5,0,0.7290905621775369,-3.282321222
5,1,0.12898291075741067,-3.299209933
5,2,1.1394006845433007,2.002286327539436
5,3,-1.23482582,-0.984478344
5,4,0.402341641,1.0566297051495277
5,5,-0.684810091,1.2118238819330431
5,6,-0.870797149,1.606278468771329
5,7,-0.578849665,1.0612399629804268
5,8,-0.311552532,1.7574578190676267
5,9,0.056165342,0.7533966690006353
5,10,-1.165149841,-2.71873193
5,11,0.9008264869541871,-1.883958972
6,0,0.46566243973045984,4.412916562726434
6,1,-1.536243686,3.523614412065627
6,2,1.4882521937955997,10.241898055716423
6,3,1.8958891760305832,11.029079965661007
6,4,1.1787795711596507,11.359271966396157
6,5,-0.179924836,8.399187735983435
6,6,-1.070752622,7.411595582009019
6,7,1.0544517269311366,11.104975294805506
6,8,-0.403176947,7.474293118990908
6,9,1.2224450703824274,10.954269113000679
6,10,0.2082749780768603,7.909229799869589
6,11,0.9766390364837128,7.377741322553713
7,0,0.3563663971744019,0.26802488778675587
7,1,0.7065731681919482,4.308807813915262
7,2,0.010500020720820478,2.274790343256977
7,3,1.7858704939058352,4.371935622167403
7,4,0.12691209270361992,5.117572836094436
7,5,0.40198936344470165,5.7802850043479275
7,6,1.8831506970562544,7.701778169883187
7,7,-1.347759061,2.2274360490701017
7,8,-1.270484998,2.382987480611793
7,9,0.9693967081580112,5.530004658264047
7,10,-1.173123405,0.4654026918287638
7,11,1.9436211856492926,6.555789958160229
8,0,-0.413618981,-1.99380826
8,1,-0.747454811,-0.493841654
8,2,1.9229420264803847,3.516250925865151
8,3,1.4805147914344243,6.559381194998942
8,4,1.8675589604265699,5.705389738999196
8,5,0.9060446582753853,6.240070280197679
