X,Y,Z
1,4.1092182019064944,1.764052345967664
0,2.2595035422188516,0.4001572083672233
0,-0.647583954,0.9787379841057392
0,2.1060707481071037,2.240893199201458
1,3.5834644433550484,1.8675579901499675
1,1.6578277403195876,-0.97727788
1,0.812524058,0.9500884175255894
0,0.963567351,-0.151357208
0,-0.089470364,-0.103218852
1,0.8658973383103261,0.41059850193837233
0,-0.217069564,0.144043571
0,2.0632358486174995,1.454273506962975
0,-0.83041015,0.7610377251469934
1,2.424897232935984,0.12167501649282841
1,1.6863895849438952,0.44386323274542566
0,-0.222310705,0.33367432737426683
1,3.820817455832243,1.4940790731576061
1,2.2782919898157754,-0.205158264
0,-0.157674797,0.31306770165090136
0,-0.58129935,-0.854095739
0,-1.735012209,-2.552989816
1,2.674704320337121,0.6536185954403606
0,2.2960039563087964,0.8644361988595057
0,0.7200491503739775,-0.74216502
1,4.141052558401779,2.2697546239876076
0,-2.092206231,-1.454365675
1,0.6815855321352722,0.045758517
0,-0.313753182,-0.18718385
1,3.469341434242406,1.5327792143584575
0,2.2484099900332764,1.469358769900285
0,-1.35471418,0.1549474256969163
0,0.10077112785906372,0.37816251960217356
0,0.080958645,-0.887785748
0,-2.711153564,-1.980796468
0,-1.110273686,-0.347912149
0,-1.290591366,0.15634896910398005
1,6.150864526745959,1.2302906807277207
1,2.7549066707190315,1.2023798487844113
0,-1.68767365,-0.387326817
1,1.1938468453931443,-0.302302751
0,-1.822848046,-1.048552965
0,-1.689407716,-1.420017937
0,-0.880897959,-1.706270191
1,3.952452226235956,1.9507753952317897
1,0.8675245032515184,-0.509652182
1,0.4105872001977884,-0.438074302
0,-1.230938002,-1.25279536
0,0.8200294298617008,0.7774903558319101
0,-0.082965497,-1.613897848
0,-0.120292545,-0.21274028
0,-0.994474872,-0.895466561
0,-0.663751339,0.386902498
1,1.4832422873327347,-0.510805138
0,-1.619106642,-1.180632184
1,1.9016536071476424,-0.028182228
0,-0.530923522,0.42833187053041766
0,0.6048468256593448,0.066517222
0,0.16002648023041202,0.3024718977397814
1,1.465324426314049,-0.634322094
0,-2.076787282,-0.362741166
0,-0.17881636,-0.672460448
1,2.427462164439838,-0.359553162
0,-1.652275685,-0.813146282
0,-0.736161218,-1.726282602
1,1.1126679121713203,0.17742614225375283
0,-0.423650845,-0.401780936
0,-1.901405687,-1.630198347
1,1.4456074667199796,0.4627822555257742
1,1.5824042476967535,-0.907298364
1,4.054515548,0.051945396
1,3.0967247922444563,0.7290905621775369
0,-0.334038843,0.12898291075741067
1,3.8864248414289784,1.1394006845433007
0,-1.129105825,-1.23482582
1,2.7301037728030506,0.402341641
0,-1.110352304,-0.684810091
0,0.55117841,-0.870797149
0,-0.122486301,-0.578849665
0,-0.840223191,-0.311552532
0,-0.051838495,0.056165342
1,0.3939834550125707,-1.165149841
1,2.5925353368726918,0.9008264869541871
0,-0.175063284,0.46566243973045984
1,-0.37055528,-1.536243686
0,2.265529157563555,1.4882521937955997
